id_categorie,retour
1,f
2,f
3,f
4,f
5,f
6,f
7,f
8,f
9,f
10,f
11,f
12,f
13,f
14,f
15,f
16,f
17,f
18,f
19,f
20,t
21,t
22,t
23,t
24,t
25,t
26,t
27,t
28,t
29,t
30,t
31,t
32,t
33,t
34,t
35,t
36,t
37,t
38,t
39,t
40,t
41,t
42,t
43,t
44,t
45,t
46,t
47,t
48,t
49,t
50,t
51,t
52,t
53,t
54,t
55,t
56,t
57,t
58,t
59,t
60,t
61,t
62,t
63,t
64,t
65,t
66,t
67,t
68,t
69,t
70,t
71,t
72,t
73,t
74,t
75,t
76,t
77,t
78,t
79,t
80,t
81,t
82,t
83,t
84,t
85,t
86,t
87,t
88,t
89,t
90,t
91,t
92,t
93,t
94,t
95,t
96,t
97,t
98,t
99,t
100,t
101,t
102,t
103,t
104,t
105,t
106,t
107,t
108,t
109,t
110,t
111,t
112,t
113,t
114,t
115,t
116,t
117,t
118,t
119,t
